date,Dubai,Brent,WTI
2008-07-06,138.91,141.87,141.37
2008-07-07,137.51,136.43,136.04
2008-07-09,134.15,136.58,136.05
2008-07-10,132.81,142.03,141.65
2008-07-11,139.03,144.49,145.08
2008-07-14,139.01,143.92,145.18
2008-07-15,140.22,138.75,138.74
2008-07-16,134.05,136.19,134.60
2008-07-17,131.08,131.07,129.29
2008-07-18,128.15,130.19,128.88
2008-07-21,127.70,132.61,131.04
2008-07-22,129.01,129.55,127.95
2008-07-23,123.58,125.29,124.44
2008-07-24,120.99,126.44,125.49
2008-07-25,122.60,124.52,123.26
2008-07-28,121.28,125.84,124.73
2008-07-29,122.53,122.71,122.19
2008-07-30,119.96,127.10,126.77
2008-07-31,123.33,123.98,124.08
2008-08-01,120.40,124.18,125.10
2008-08-04,122.51,120.68,121.41
2008-08-05,117.32,117.70,119.17
2008-08-06,116.11,117.00,118.58
2008-08-07,115.30,117.86,120.02
2008-08-08,114.16,113.33,115.20
2008-08-11,113.21,112.67,114.45
2008-08-12,110.28,111.15,113.01
2008-08-13,109.69,113.47,116.00
2008-08-14,111.90,112.64,115.01
2008-08-15,108.09,112.55,113.77
2008-08-18,109.58,111.94,112.87
2008-08-19,107.93,113.25,114.53
2008-08-20,110.70,114.36,114.98
2008-08-21,112.24,120.16,121.18
2008-08-22,116.74,113.92,114.59
2008-08-25,111.34,114.03,115.11
2008-08-26,110.52,114.63,116.27
2008-08-27,111.52,116.22,118.15
2008-08-28,112.24,114.17,115.59
2008-08-29,111.03,114.05,115.46
2008-09-01,111.64,109.41,
2008-09-02,101.65,108.34,109.71
2008-09-03,103.27,108.06,109.35
2008-09-04,104.75,106.30,107.89
2008-09-05,101.33,104.09,106.23
2008-09-08,101.83,103.44,106.34
2008-09-09,98.95,100.34,103.26
2008-09-10,97.92,98.97,102.58
2008-09-11,95.62,97.64,100.87
2008-09-12,95.46,97.58,101.18
2008-09-15,92.35,92.38,95.71
2008-09-16,86.56,89.22,91.15
2008-09-17,87.17,94.84,97.16
2008-09-18,88.37,95.19,97.88
2008-09-19,89.88,99.61,104.55
2008-09-22,95.10,106.04,120.92
2008-09-23,96.68,103.08,106.61
2008-09-24,97.11,102.45,105.73
2008-09-25,95.22,104.60,108.02
2008-09-26,95.76,103.54,106.89
2008-09-29,94.11,93.98,96.37
2008-09-30,87.94,98.17,100.64
